"","locname","latitude","longitude","NOAA_ID","NOAA_NAME","NEAR_Y","NEAR_X","NEAR_DIST"
"718","12388700",47.367432,-114.585126,"USC00246364","PARADISE",47.3833,-114.8,16.2760057157675
"719","12413360",47.440278,-116.175278,"USC00104831","KELLOGG",47.5339,-116.1222,11.1481308446194
"720","12413370",47.476667,-116.221667,"USC00104831","KELLOGG",47.5339,-116.1222,9.81442570041668
"721","12413445",47.514444,-116.241944,"USC00104831","KELLOGG",47.5339,-116.1222,9.24789854351533
"722","12447390",48.822925,-120.145924,"USC00451438","CHOPAKA",49,-120,22.3922541957871
"723","12462500",47.499291,-120.424522,"USC00451164","CASHMERE",47.5333,-120.4667,4.93294012943693
"724","12510500",46.253467,-119.478079,"USC00450628","BENTON CITY 2 NW",46.2833,-119.5,3.72069380103839
"725","13016450",43.50076,-110.8716,"USS0010F23S","Phillips Bench",43.52,-110.91,3.76387359594417
"726","13018300",43.452153,-110.704091,"USC00484910","JACKSON",43.4864,-110.7614,5.99083780499261
"727","13018350",43.458333,-110.796111,"USC00484910","JACKSON",43.4864,-110.7614,4.19352624343219
"728","13038500",43.735278,-111.878056,"USC00107689","RIGBY",43.6761,-111.9125,7.13904460903608
"729","13057000",43.752778,-111.979167,"USC00107689","RIGBY",43.6761,-111.9125,10.0700175139593
"730","13069500",43.125192,-112.519149,"USC00103297","FT HALL 1 NNE",43.0425,-112.4144,12.5265000702732
"731","13135500",43.786297,-114.425055,"USR0000INOR","NORTH FORK IDAHO",43.7897,-114.4208,0.50975070693451
"732","13150430",43.322222,-114.106667,"USC00107040","PICABO",43.3086,-114.0667,3.57068594994699
"733","13213000",43.781667,-116.972778,"USC00106844","PARMA EXP STN",43.8022,-116.9442,3.23646001186277
"734","13307000",45.3225,-114.44,"USR0000ISKU","SKULL GULCH IDAHO",45.3367,-114.4681,2.70526715773394
"735","13331500",45.619867,-117.726589,"USC00354066","HOWARDVILLE",45.65,-117.6667,5.73662404948535
"736","13340600",46.840466,-115.620703,"USR0000IEAG","EAGLE IDAHO",46.8008,-115.5367,7.76580608410646
"737","13342500",46.448498,-116.827375,"USC00105132","LAPWAI 2 N",46.4228,-116.8111,3.11780511185903
"738","14034470",45.340683,-119.515854,"USC00353827","HEPPNER",45.3653,-119.5639,4.64627725125231
"739","14034500",45.350406,-119.550022,"USC00353827","HEPPNER",45.3653,-119.5639,1.97954388163919
"740","14046890",44.910407,-120.440863,"USC00351625","CLARNO",44.8833,-120.5,5.54825625736803
"741","14076500",44.498729,-121.321156,"USC00356555","PENINSULA",44.5,-121.3,1.68383859481807
"742","14091500",44.626228,-121.483943,"USC00355707","MONTGOMERY RCH",44.6167,-121.4833,1.06068676719053
"743","14092500",44.725952,-121.246994,"USC00356532","PELTON DAM",44.7275,-121.2506,0.332841547824005
"744","14103000",45.622068,-120.902565,"USC00451257","CENTERVILLE 2 SW",45.7333,-120.95,12.9057915970069
"745","14138720",45.470952,-121.865357,"USS0021D33S","Blazed Alder",45.43,-121.86,4.57278831783636
"746","14138850",45.498174,-122.012305,"USS0022D03S","South Fork Bull Run",45.45,-122.03,5.53154253789497
"747","14138870",45.480119,-122.025638,"USS0022D03S","South Fork Bull Run",45.45,-122.03,3.36631185549359
"748","14138900",45.494286,-122.035917,"USS0022D03S","South Fork Bull Run",45.45,-122.03,4.94594576805768
"749","14139800",45.444564,-122.109529,"USC00353770","HEADWORKS PORTLAND WTR B",45.4486,-122.1547,3.55231826939468
"750","14141500",45.415398,-122.171475,"USC00353770","HEADWORKS PORTLAND WTR B",45.4486,-122.1547,3.91707937784106
"751","14144800",43.597066,-122.456714,"USS0022F42S","Holland Meadows",43.67,-122.57,12.2021841961778
"752","14144900",43.680401,-122.3706,"USR0000OFIE","FIELDS OREGON",43.6806,-122.3019,5.52465215388464
"753","14145500",43.722068,-122.438659,"USC00356213","OAKRIDGE FISH HATCHERY",43.7428,-122.4433,2.33525658618847
"754","14147500",43.758179,-122.509496,"USC00356213","OAKRIDGE FISH HATCHERY",43.7428,-122.4433,5.58526194714577
"755","14150000",43.945682,-122.837297,"USC00355072","LOWELL",43.9167,-122.7833,5.39286366098731
"756","14150800",43.914292,-122.688676,"USC00355050","LOOKOUT PT DAM",43.9139,-122.76,5.71340797794243
