"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd","Flow","Flow_cd"
"304","USGS","02292900",2015-03-02,20.9,"A",NA,NA,2240,"A"
"305","USGS","02292900",2015-03-03,21,"A",NA,NA,1680,"A"
"306","USGS","02292900",2015-03-04,21.7,"A",NA,NA,1260,"A"
"307","USGS","02292900",2015-03-05,22.9,"A",NA,NA,931,"A"
"308","USGS","02292900",2015-03-06,23.4,"A",NA,NA,2200,"A"
"309","USGS","02292900",2015-03-07,22.8,"A",NA,NA,3560,"A"
"310","USGS","02292900",2015-03-08,22.7,"A",NA,NA,3210,"A"
"311","USGS","02292900",2015-03-09,23.1,"A",NA,NA,2430,"A"
"312","USGS","02292900",2015-03-10,23.7,"A",NA,NA,2080,"A"
"313","USGS","02292900",2015-03-11,24.4,"A",NA,NA,1810,"A"
"314","USGS","02292900",2015-03-12,25,"A",NA,NA,1220,"A"
"315","USGS","02292900",2015-03-13,25,"A",NA,NA,2340,"A"
"316","USGS","02292900",2015-03-14,25.1,"A",NA,NA,3150,"A"
"317","USGS","02292900",2015-03-15,25.7,"A",NA,NA,3460,"A"
"318","USGS","02292900",2015-03-16,25.9,"A",NA,NA,2620,"A"
"319","USGS","02292900",2015-03-17,25.9,"A",NA,NA,2000,"A"
"320","USGS","02292900",2015-03-18,25.8,"A",NA,NA,1600,"A"
"321","USGS","02292900",2015-03-19,26.2,"A",NA,NA,948,"A"
"322","USGS","02292900",2015-03-20,26.3,"A",NA,NA,2080,"A"
"323","USGS","02292900",2015-03-21,26.5,"A",NA,NA,3220,"A"
"324","USGS","02292900",2015-03-22,26.7,"A",NA,NA,2950,"A"
"325","USGS","02292900",2015-03-23,26.4,"A",NA,NA,2590,"A"
"326","USGS","02292900",2015-03-24,26.7,"A",NA,NA,2240,"A"
"327","USGS","02292900",2015-03-25,26.9,"A",NA,NA,1800,"A"
"328","USGS","02292900",2015-03-26,27,"A",NA,NA,1060,"A"
"329","USGS","02292900",2015-03-27,26.5,"A",NA,NA,1880,"A"
"330","USGS","02292900",2015-03-28,25.8,"A",NA,NA,3660,"A"
"331","USGS","02292900",2015-03-29,25.2,"A",NA,NA,3330,"A"
"332","USGS","02292900",2015-03-30,25.2,"A",NA,NA,2350,"A"
"333","USGS","02292900",2015-03-31,25.2,"A",NA,NA,1860,"A"
"334","USGS","02292900",2015-04-01,25.1,"A",NA,NA,1700,"A"
"335","USGS","02292900",2015-04-02,25.6,"A",NA,NA,1290,"A"
"336","USGS","02292900",2015-04-03,26.1,"A",NA,NA,1890,"A"
"337","USGS","02292900",2015-04-04,25.9,"A",NA,NA,2820,"A"
"338","USGS","02292900",2015-04-05,25.7,"A",NA,NA,2680,"A"
"339","USGS","02292900",2015-04-06,25.8,"A",NA,NA,2010,"A"
"340","USGS","02292900",2015-04-07,25.6,"A",NA,NA,1580,"A"
"341","USGS","02292900",2015-04-08,25.9,"A",NA,NA,1180,"A"
"342","USGS","02292900",2015-04-09,26.1,"A",NA,NA,896,"A"
"343","USGS","02292900",2015-04-10,26.6,"A",NA,NA,1870,"A"
"344","USGS","02292900",2015-04-11,27.1,"A",NA,NA,2660,"A"
"345","USGS","02292900",2015-04-12,27.4,"A",NA,NA,2350,"A"
"346","USGS","02292900",2015-04-13,27.5,"A",NA,NA,1670,"A"
"347","USGS","02292900",2015-04-14,27.9,"A",NA,NA,1910,"A"
"348","USGS","02292900",2015-04-15,28.7,"A",NA,NA,1170,"A"
"349","USGS","02292900",2015-04-16,29.2,"A",NA,NA,1060,"A"
"350","USGS","02292900",2015-04-17,28.8,"A",NA,NA,3000,"A"
"351","USGS","02292900",2015-04-18,28.8,"A",NA,NA,2230,"A"
"352","USGS","02292900",2015-04-19,29,"A",NA,NA,2910,"A"
"353","USGS","02292900",2015-04-20,29.1,"A",NA,NA,2510,"A"
"354","USGS","02292900",2015-04-21,29,"A",NA,NA,2480,"A"
"355","USGS","02292900",2015-04-22,29.1,"A",NA,NA,1510,"A"
"356","USGS","02292900",2015-04-23,28.9,"A",NA,NA,979,"A"
"357","USGS","02292900",2015-04-24,28.9,"A",NA,NA,1760,"A"
"358","USGS","02292900",2015-04-25,29.2,"A",NA,NA,2360,"A"
"359","USGS","02292900",2015-04-26,29.2,"A",NA,NA,2170,"A"
"360","USGS","02292900",2015-04-27,29.4,"A",NA,NA,1750,"A"
"361","USGS","02292900",2015-04-28,28.9,"A",NA,NA,1510,"A"
