"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd"
"392","USGS","02292900",2015-05-29,29.5,"A",NA,NA
"393","USGS","02292900",2015-05-30,29.9,"A",NA,NA
"394","USGS","02292900",2015-05-31,30.3,"A",NA,NA
"395","USGS","02292900",2015-06-01,30.9,"A",NA,NA
"396","USGS","02292900",2015-06-02,29.7,"A",NA,NA
"397","USGS","02292900",2015-06-03,29.7,"A",NA,NA
"398","USGS","02292900",2015-06-04,30.3,"A",NA,NA
"399","USGS","02292900",2015-06-05,30.3,"A",NA,NA
"400","USGS","02292900",2015-06-06,29.8,"A",NA,NA
"401","USGS","02292900",2015-06-07,30,"A",NA,NA
"402","USGS","02292900",2015-06-08,30.3,"A",NA,NA
"403","USGS","02292900",2015-06-09,30.5,"A",NA,NA
"404","USGS","02292900",2015-06-10,30.3,"A",NA,NA
"405","USGS","02292900",2015-06-11,29.7,"A",NA,NA
"406","USGS","02292900",2015-06-12,29.6,"A",NA,NA
"407","USGS","02292900",2015-06-13,29.3,"A",NA,NA
"408","USGS","02292900",2015-06-14,29.3,"A",NA,NA
"409","USGS","02292900",2015-06-15,29.2,"A",NA,NA
"410","USGS","02292900",2015-06-16,30,"A",NA,NA
"411","USGS","02292900",2015-06-17,30.8,"A",NA,NA
"412","USGS","02292900",2015-06-18,31.5,"A",NA,NA
"413","USGS","02292900",2015-06-19,30.8,"A",NA,NA
"414","USGS","02292900",2015-06-20,31.2,"A",NA,NA
"415","USGS","02292900",2015-06-21,31.9,"A",NA,NA
"416","USGS","02292900",2015-06-22,33,"A",NA,NA
"417","USGS","02292900",2015-06-23,32.9,"A",NA,NA
"418","USGS","02292900",2015-06-24,32.5,"A",NA,NA
"419","USGS","02292900",2015-06-25,32.2,"A",NA,NA
"420","USGS","02292900",2015-06-26,31.7,"A",NA,NA
"421","USGS","02292900",2015-06-27,31.5,"A",NA,NA
"422","USGS","02292900",2015-06-28,31.5,"A",NA,NA
"423","USGS","02292900",2015-06-29,31.2,"A",NA,NA
"424","USGS","02292900",2015-06-30,31.2,"A",NA,NA
"425","USGS","02292900",2015-07-01,31.9,"A",NA,NA
"426","USGS","02292900",2015-07-02,32,"A",NA,NA
"427","USGS","02292900",2015-07-03,32,"A",NA,NA
"428","USGS","02292900",2015-07-04,32.3,"A",NA,NA
"429","USGS","02292900",2015-07-05,32.2,"A",NA,NA
"430","USGS","02292900",2015-07-06,31.5,"A",NA,NA
"431","USGS","02292900",2015-07-07,30.9,"A",NA,NA
"432","USGS","02292900",2015-07-08,30.7,"A",NA,NA
"433","USGS","02292900",2015-07-09,31,"A",NA,NA
"434","USGS","02292900",2015-07-10,31.4,"A",NA,NA
"435","USGS","02292900",2015-07-11,31.9,"A",NA,NA
"436","USGS","02292900",2015-07-12,31.8,"A",NA,NA
"437","USGS","02292900",2015-07-13,31,"A",NA,NA
